term	code
adverse reaction to COVID-19 antigen vaccine	T88.7
adverse reaction following injection of substance	T88.7
adverse reaction to inhaled anesthetic with ether structure	T88.7
adverse reaction to inhaled anaesthetic with ether structure	T88.7
COVID-19 vaccine adverse reaction	T88.7
adverse reaction to COVID-19 vaccine	T88.7
erythropoietin receptor agonist adverse reaction	T88.7
adverse reaction to component of vaccine product containing only recombinant non-replicating viral vector encoding severe acute respiratory syndrome coronavirus 2 spike protein	T88.7
COVID-19 non-replicating viral vector vaccine adverse reaction	T88.7
adverse reaction to COVID-19 non-replicating viral vector vaccine	T88.7
adverse reaction to inactivated whole COVID-19 antigen vaccine	T88.7
inactivated whole COVID-19 antigen vaccine adverse reaction	T88.7
adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens	T88.7
adverse reaction to diphtheria and acellular pertussis and Haemophilus influenzae type b and hepatitis B and inactivated poliomyelitis and tetanus vaccine	T88.7
diphtheria and acellular pertussis and Haemophilus influenzae type b and hepatitis B and inactivated poliomyelitis and tetanus vaccine adverse reaction	T88.7
adverse reaction to component of vaccine product containing only severe acute respiratory syndrome coronavirus 2 recombinant spike protein antigen	T88.7
COVID-19 recombinant spike protein antigen vaccine adverse reaction	T88.7
adverse reaction to COVID-19 recombinant spike protein antigen vaccine	T88.7
adverse reaction to Digitalis glycoside	T88.7
adverse reaction to bile acid and/or bile acid derivative	T88.7
adverse reaction to xanthine and/or xanthine derivative	T88.7
adverse reaction to iron and/or iron compound	T88.7
adverse reaction to carbromal	T88.7
adverse reaction to component of vaccine product containing only severe acute respiratory syndrome coronavirus 2 virus-like particle antigen	T88.7
COVID-19 virus-like particle antigen vaccine adverse reaction	T88.7
adverse reaction to COVID-19 virus-like particle antigen vaccine	T88.7
tocilizumab adverse reaction	T88.7
adverse reaction to sotrovimab	T88.7
sotrovimab adverse reaction	T88.7
adverse reaction to sarilumab	T88.7
sarilumab adverse reaction	T88.7
adverse reaction to remdesivir	T88.7
remdesivir adverse reaction	T88.7
adverse reaction to casirivimab	T88.7
imdevimab adverse reaction	T88.7
casirivimab and/or imdevimab adverse reaction	T88.7
adverse reaction to convalescent plasma	T88.7
convalescent plasma adverse reaction	T88.7
adverse reaction to danaparoid	T88.7
danaparoid adverse reaction	T88.7
adverse reaction to bebtelovimab	T88.7
bebtelovimab adverse reaction	T88.7
human anti-D immunoglobulin adverse reaction	T88.7
human anti-D (rh) immunoglobulin adverse reaction	T88.7
human rho(D) immunoglobulin adverse reaction	T88.7
adverse reaction caused by ethanol	T88.7
adverse reaction to ethanol	T88.7
adverse reaction caused by alcoholic beverage	T88.7
adverse reaction to alcoholic beverage	T88.7
adverse reaction caused by substance with alcohol structure	T88.7
adverse reaction to substance with alcohol structure	T88.7
allergic reaction caused by penicillin	T88.7
allergic reaction caused by antibacterial agent	T88.7
allergic reaction caused by sulfonamide	T88.7
allergic reaction caused by analgesic	T88.7
allergic reaction caused by anesthetic	T88.7
allergic reaction caused by anaesthetic	T88.7
post-bacillus Calmette-Guerin vaccination encephalitis	T88.7
post BCG vaccination encephalitis	T88.7
adverse reaction caused by antineoplastic antibiotics	T88.7
adverse reaction to antineoplastic antibiotics	T88.7
adverse reaction caused by sulfamethoxazole	T88.7
adverse reaction caused by sulphamethoxazole	T88.7
adverse reaction to sulfamethoxazole	T88.7
adverse reaction to sulphamethoxazole	T88.7
adverse reaction caused by chiniofon	T88.7
adverse reaction to chiniofon	T88.7
adverse reaction caused by diiodohydroxyquin	T88.7
adverse reaction to diiodohydroxyquin	T88.7
adverse reaction to cycloguanil	T88.7
adverse reaction caused by emetine	T88.7
adverse reaction to emetine	T88.7
adverse reaction caused by hexylresorcinol	T88.7
adverse reaction to hexylresorcinol	T88.7
adverse reaction caused by male fern oleoresin	T88.7
adverse reaction to male fern oleoresin	T88.7
adverse reaction caused by ethionamide	T88.7
adverse reaction caused by para-aminosalicylic acid	T88.7
adverse reaction caused by hexamine	T88.7
adverse reaction to hexamine	T88.7
adverse reaction caused by follicle stimulating hormone	T88.7
adverse reaction caused by FSH	T88.7
adverse reaction to FSH	T88.7
adverse reaction to follicle stimulating hormone	T88.7
adverse reaction caused by posterior pituitary hormones	T88.7
adverse reaction to posterior pituitary hormones	T88.7
adverse reaction caused by parathyroid hormone and/or parathyroid hormone derivative	T88.7
adverse reaction to parathyroid hormone and/or parathyroid hormone derivative	T88.7
adverse reaction caused by thyroglobulin	T88.7
adverse reaction to thyroglobulin	T88.7
adverse reaction caused by antihistamines	T88.7
adverse reaction to antihistamines	T88.7
adverse reaction to phytomenadione	T88.7
adverse reaction caused by fibrinolytic drugs	T88.7
adverse reaction to fibrinolytic drugs	T88.7
adverse reaction caused by anticoagulant antagonists	T88.7
adverse reaction to anticoagulant antagonists	T88.7
adverse reaction caused by human fibrinogen	T88.7
adverse reaction to human fibrinogen	T88.7
adverse reaction caused by packed red cells	T88.7
adverse reaction to packed red cells	T88.7
adverse reaction caused by whole blood	T88.7
adverse reaction to whole blood	T88.7
adverse reaction caused by macromolecular blood substitutes	T88.7
adverse reaction to macromolecular blood substitutes	T88.7
adverse reaction caused by phenacetin	T88.7
adverse reaction to phenacetin	T88.7
adverse reaction caused by acetanilide	T88.7
adverse reaction to acetanilide	T88.7
adverse reaction caused by pyrazole derivative	T88.7
adverse reaction to pyrazole derivative	T88.7
adverse reaction caused by aminophenazone	T88.7
adverse reaction to aminophenazone	T88.7
adverse reaction caused by ibuprofen	T88.7
adverse reaction to ibuprofen	T88.7
adverse reaction caused by fenbufen	T88.7
adverse reaction to fenbufen	T88.7
adverse reaction caused by ketoprofen	T88.7
adverse reaction to ketoprofen	T88.7
ketoprofen adverse reaction	T88.7
adverse reaction caused by naproxen	T88.7
naproxen adverse reaction	T88.7
adverse reaction caused by piroxicam	T88.7
adverse reaction to piroxicam	T88.7
adverse reaction caused by sodium aurothiomalate	T88.7
adverse reaction to sodium aurothiomalate	T88.7
adverse reaction caused by pyrabital	T88.7
adverse reaction to pyrabital	T88.7
adverse reaction caused by mefenamic acid	T88.7
mefenamic acid adverse reaction	T88.7
adverse reaction caused by oxazolidine derivative	T88.7
adverse reaction to oxazolidine derivative	T88.7
adverse reaction caused by paramethadione	T88.7
adverse reaction to paramethadione	T88.7
adverse reaction caused by trimethadione	T88.7
adverse reaction to trimethadione	T88.7
adverse reaction caused by succinimide	T88.7
adverse reaction to succinimide	T88.7
adverse reaction caused by phensuximide	T88.7
adverse reaction to phensuximide	T88.7
adverse reaction caused by barbitone	T88.7
adverse reaction caused by pentobarbitone	T88.7
adverse reaction to pentobarbitone	T88.7
adverse reaction caused by central nervous system muscle-tone depressants	T88.7
adverse reaction to central nervous system muscle-tone depressants	T88.7
adverse reaction caused by chlorphenesin	T88.7
adverse reaction to chlorphenesin	T88.7
adverse reaction caused by mephenesin	T88.7
adverse reaction to mephenesin	T88.7
adverse reaction caused by nitrous oxide	T88.7
adverse reaction caused by cyclopropane	T88.7
adverse reaction to cyclopropane	T88.7
adverse reaction caused by surface and infiltration anesthetic	T88.7
adverse reaction caused by surface and infiltration anaesthetic	T88.7
adverse reaction to surface and infiltration anaesthetic	T88.7
adverse reaction caused by tetracaine	T88.7
adverse reaction caused by methocaine	T88.7
adverse reaction to methocaine	T88.7
adverse reaction to tetracaine	T88.7
amethocaine adverse reaction	T88.7
adverse reaction caused by peripheral nerve and plexus blocking anesthetic	T88.7
adverse reaction caused by peripheral nerve and plexus blocking anaesthetic	T88.7
adverse reaction to peripheral nerve and plexus blocking anaesthetic	T88.7
adverse reaction to peripheral nerve and plexus blocking anesthetic	T88.7
adverse reaction caused by spiperone	T88.7
adverse reaction to spiperone	T88.7
adverse reaction caused by hallucinogen	T88.7
adverse reaction to hallucinogen	T88.7
adverse reaction caused by cannabis	T88.7
adverse reaction caused by marihuana	T88.7
adverse reaction to marihuana	T88.7
adverse reaction to marijuana	T88.7
adverse reaction caused by lysergide	T88.7
adverse reaction to lysergide	T88.7
adverse reaction caused by mescaline	T88.7
adverse reaction to mescaline	T88.7
adverse reaction caused by psilocin	T88.7
adverse reaction to psilocin	T88.7
adverse reaction caused by psilocybin	T88.7
adverse reaction to psilocybin	T88.7
adverse reaction to caffeine	T88.7
adverse reaction caused by caffeine	X41.99
adverse reaction to caffeine	X41.99
adverse reaction caused by lobeline	T88.7
adverse reaction to lobeline	T88.7
adverse reaction caused by levallorphan	T88.7
adverse reaction to levallorphan	T88.7
adverse reaction caused by nalorphine	T88.7
adverse reaction to nalorphine	T88.7
adverse reaction caused by tolazoline	T88.7
adverse reaction to tolazoline	T88.7
adverse reaction caused by ganglion blocking drug	T88.7
adverse reaction to ganglion blocking drug	T88.7
ganglion-blocking drug adverse reaction	T88.7
adverse reaction caused by pentamethonium bromide	T88.7
adverse reaction to pentamethonium bromide	T88.7
adverse reaction caused by reserpine	T88.7
adverse reaction to reserpine	T88.7
adverse reaction caused by capillary-active drug	T88.7
adverse reaction to capillary-active drug	T88.7
adverse reaction caused by alexitol sodium	T88.7
adverse reaction to alexitol sodium	T88.7
adverse reaction caused by magnesium carbonate	T88.7
adverse reaction to magnesium carbonate	T88.7
adverse reaction caused by hydrotalcite	T88.7
adverse reaction to hydrotalcite	T88.7
adverse reaction caused by magaldrate	T88.7
adverse reaction to magaldrate	T88.7
adverse reaction caused by sodium bicarbonate	T88.7
adverse reaction caused by irritant cathartic	T88.7
adverse reaction to irritant cathartic	T88.7
adverse reaction caused by phenolphthalein	T88.7
adverse reaction to phenolphthalein	T88.7
adverse reaction caused by emollient cathartic	T88.7
adverse reaction to emollient cathartic	T88.7
adverse reaction caused by digestant	T88.7
adverse reaction to digestant	T88.7
adverse reaction caused by pancreatin	T88.7
adverse reaction to pancreatin	T88.7
pancreatin adverse reaction	T88.7
adverse reaction caused by papain	T88.7
adverse reaction to papain	T88.7
adverse reaction caused by pepsin	T88.7
adverse reaction to pepsin	T88.7
adverse reaction caused by diphenoxylate	T88.7
adverse reaction to diphenoxylate	T88.7
adverse reaction caused by pectin	T88.7
adverse reaction to pectin	T88.7
adverse reaction caused by emetic	T88.7
adverse reaction to emetic	T88.7
adverse reaction caused by chlormerodrin	T88.7
adverse reaction to chlormerodrin	T88.7
adverse reaction caused by mercaptomerin	T88.7
adverse reaction caused by mercurophylline	T88.7
adverse reaction to mercurophylline	T88.7
adverse reaction caused by purine derivative diuretic	T88.7
adverse reaction to purine derivative diuretic	T88.7
adverse reaction to theobromine	T88.7
adverse reaction to oxytocic agents	T88.7
adverse reaction caused by adiphenine	T88.7
adverse reaction caused by skeletal muscle relaxants	T88.7
adverse reaction to skeletal muscle relaxants	T88.7
adverse reaction caused by expectorant	T88.7
adverse reaction to expectorant	T88.7
adverse reaction caused by antiasthmatic	T88.7
adverse reaction to antiasthmatic	T88.7
adverse reaction caused by antipruritic	T88.7
adverse reaction to antipruritic	T88.7
adverse reaction caused by lipotropic drugs	T88.7
adverse reaction to lipotropic drugs	T88.7
drug-induced anaphylaxis	T88.7
penicillin-induced anaphylaxis	T88.7
insulin-induced anaphylaxis	T88.7
drug-aggravated angio-oedema-urticaria	T88.7
pharmacological-aggravated urticaria	T88.7
adverse reaction caused by antipyretic	T88.7
adverse reaction to antipyretic	T88.7
adverse reaction caused by salicylate	T88.7
adverse reaction to salicylate	T88.7
adverse reaction caused by antirheumatic	T88.7
adverse reaction to antirheumatic	T88.7
analgesic adverse reaction	T88.7
adverse reaction to analgesics	T88.7
adverse reaction caused by paracetamol	T88.7
acetaminophen adverse reaction	T88.7
adverse reaction caused by acetaminophen	T88.7
adverse reaction to acetaminophen	T88.7
adverse reaction to paracetamol	T88.7
paracetamol adverse reaction	T88.7
aspirin adverse reaction	T88.7
opioid analgesic adverse reaction	T88.7
adverse reaction to pentazocine	T88.7
phenazocine adverse reaction	T88.7
methadone analogue adverse reaction	T88.7
dextromoramide adverse reaction	T88.7
adverse reaction to dextromoramide	T88.7
dextropropoxyphene adverse reaction	T88.7
dipipanone adverse reaction	T88.7
adverse reaction to dipipanone	T88.7
methadone adverse reaction	T88.7
adverse reaction to methadone	T88.7
morphinan opioid adverse reaction	T88.7
buprenorphine adverse reaction	T88.7
adverse reaction to buprenorphine	T88.7
codeine adverse reaction	T88.7
adverse reaction to codeine	T88.7
diamorphine adverse reaction	T88.7
adverse reaction to diamorphine	T88.7
dihydrocodeine adverse reaction	T88.7
adverse reaction to dihydrocodeine	T88.7
nalbuphine adverse reaction	T88.7
morphine adverse reaction	T88.7
adverse reaction to morphine	T88.7
opium alkaloid adverse reaction	T88.7
pethidine analog adverse reaction	T88.7
pethidine analogue adverse reaction	T88.7
alfentanil adverse reaction	T88.7
fentanyl adverse reaction	T88.7
pethidine adverse reaction	T88.7
meperidine adverse reaction	T88.7
phenoperidine adverse reaction	T88.7
meptazinol adverse reaction	T88.7
levorphanol adverse reaction	T88.7
azapropazone adverse reaction	T88.7
diclofenac adverse reaction	T88.7
etodolac adverse reaction	T88.7
felbinac adverse reaction	T88.7
fenoprofen adverse reaction	T88.7
adverse reaction to fenoprofen	T88.7
flurbiprofen adverse reaction	T88.7
adverse reaction to flurbiprofen	T88.7
indomethacin adverse reaction	T88.7
adverse reaction to indometacin	T88.7
adverse reaction to indomethacin	T88.7
indometacin adverse reaction	T88.7
ketorolac adverse reaction	T88.7
nabumetone adverse reaction	T88.7
nefopam adverse reaction	T88.7
oxyphenbutazone adverse reaction	T88.7
sulindac adverse reaction	T88.7
tenoxicam adverse reaction	T88.7
tiaprofenic acid adverse reaction	T88.7
tolmetin adverse reaction	T88.7
diagnostic agent adverse reaction	T88.7
tuberculin adverse reaction	T88.7
contrast media adverse reaction	T88.7
X-ray contrast media adverse reaction	T88.7
magnetic resonance imaging contrast media adverse reaction	T88.7
diagnostic dye adverse reaction	T88.7
bismuth chelate adverse reaction	T88.7
sucralfate adverse reaction	T88.7
liquorice adverse reaction	T88.7
misoprostol adverse reaction	T88.7
H2 receptor antagonist adverse reaction	T88.7
cimetidine adverse reaction	T88.7
famotidine adverse reaction	T88.7
ranitidine adverse reaction	T88.7
proton pump inhibitor adverse reaction	T88.7
omeprazole adverse reaction	T88.7
lansoprazole adverse reaction	T88.7
carbenoxolone adverse reaction	T88.7
pirenzepine adverse reaction	T88.7
5-aminosalicylic acid adverse reaction	T88.7
mesalamine adverse reaction	T88.7
mesalazine adverse reaction	T88.7
olsalazine adverse reaction	T88.7
sulfasalazine adverse reaction	T88.7
sulphasalazine adverse reaction	T88.7
antacid adverse reaction	T88.7
magnesium trisilicate adverse reaction	T88.7
antidiarrheal drug adverse reaction	T88.7
antidiarrhoeal drug adverse reaction	T88.7
loperamide adverse reaction	T88.7
kaolin adverse reaction	T88.7
motility stimulant adverse reaction	T88.7
cisapride adverse reaction	T88.7
antiemetic adverse reaction	T88.7
adverse reaction to metoclopramide	T88.7
5-Hydroxytryptamine-3-receptor antagonist adverse reaction	T88.7
5-HT3-receptor antagonist adverse reaction	T88.7
laxative adverse reaction	T88.7
bisacodyl adverse reaction	T88.7
danthron adverse reaction	T88.7
adverse reaction to dantron	T88.7
sodium picosulfate adverse reaction	T88.7
sodium picosulphate adverse reaction	T88.7
lactulose adverse reaction	T88.7
magnesium sulfate adverse reaction	T88.7
magnesium sulphate adverse reaction	T88.7
bulk-forming laxative adverse reaction	T88.7
anthraquinone laxative adverse reaction	T88.7
cascara adverse reaction	T88.7
senna adverse reaction	T88.7
docusate adverse reaction	T88.7
antispasmodic adverse reaction	T88.7
hyoscine butylbromide adverse reaction	T88.7
peppermint oil adverse reaction	T88.7
alverine adverse reaction	T88.7
mebeverine adverse reaction	T88.7
adverse reaction to mebeverine	T88.7
dicyclomine adverse reaction	T88.7
dicycloverine adverse reaction	T88.7
mepenzolate adverse reaction	T88.7
pipenzolate adverse reaction	T88.7
poldine adverse reaction	T88.7
chenodeoxycholic acid adverse reaction	T88.7
ursodeoxycholic acid adverse reaction	T88.7
general anesthetic drug adverse reaction	T88.7
adverse reaction to general anaesthetic	T88.7
adverse reaction to general anesthetic	T88.7
general anaesthetic drug adverse reaction	T88.7
intravenous anesthetics adverse reaction	T88.7
adverse reaction to intravenous anaesthetic	T88.7
adverse reaction to intravenous anesthetic	T88.7
intravenous anaesthetics adverse reaction	T88.7
etomidate adverse reaction	T88.7
adverse reaction to etomidate	T88.7
ketamine adverse reaction	T88.7
adverse reaction to ketamine	T88.7
propofol adverse reaction	T88.7
adverse reaction to propofol	T88.7
thiopentone adverse reaction	T88.7
thiopental adverse reaction	T88.7
methohexitone adverse reaction	T88.7
inhalational anaesthetics adverse reaction	T88.7
enflurane adverse reaction	T88.7
adverse reaction to enflurane	T88.7
halothane adverse reaction	T88.7
adverse reaction to halothane	T88.7
isoflurane adverse reaction	T88.7
adverse reaction to isoflurane	T88.7
trichloroethylene adverse reaction	T88.7
adverse reaction to trichloroethylene	T88.7
desflurane adverse reaction	T88.7
local anesthetic drug adverse reaction	T88.7
local anaesthetic drug adverse reaction	T88.7
bupivacaine adverse reaction	T88.7
adverse reaction to bupivacaine hydrochloride	T88.7
cinchocaine adverse reaction	T88.7
prilocaine adverse reaction	T88.7
lignocaine adverse reaction	T88.7
lidocaine adverse reaction	T88.7
cocaine adverse reaction	T88.7
adverse reaction to cocaine	T88.7
benzocaine adverse reaction	T88.7
oxybuprocaine adverse reaction	T88.7
proxymetacaine adverse reaction	T88.7
immunostimulant adverse reaction	T88.7
amifostine adverse reaction	T88.7
aldesleukin adverse reaction	T88.7
colony stimulating factors adverse reaction	T88.7
molgramostim adverse reaction	T88.7
lenograstim adverse reaction	T88.7
filgrastim adverse reaction	T88.7
levamisole adverse reaction	T88.7
antineoplastic adverse reaction	T88.7
alkylating drug adverse reaction	T88.7
busulfan adverse reaction	T88.7
adverse reaction to busulphan	T88.7
busulphan adverse reaction	T88.7
treosulfan adverse reaction	T88.7
adverse reaction to treosulfan	T88.7
adverse reaction to treosulphan	T88.7
treosulphan adverse reaction	T88.7
adverse reaction to thiotepa	T88.7
nitrogen mustard derivative adverse reaction	T88.7
chlorambucil adverse reaction	T88.7
adverse reaction to chlorambucil	T88.7
cyclophosphamide adverse reaction	T88.7
adverse reaction to cyclophosphamide	T88.7
ethoglucid adverse reaction	T88.7
ifosfamide adverse reaction	T88.7
adverse reaction to melphalan	T88.7
estramustine adverse reaction	T88.7
adverse reaction to estramustine phosphate	T88.7
mustine adverse reaction	T88.7
chlormethine adverse reaction	T88.7
mechlorethamine adverse reaction	T88.7
nitrosurea adverse reaction	T88.7
carmustine adverse reaction	T88.7
lomustine adverse reaction	T88.7
adverse reaction to lomustine	T88.7
dacarbazine adverse reaction	T88.7
cytotoxic antibiotic adverse reaction	T88.7
dactinomycin adverse reaction	T88.7
bleomycin adverse reaction	T88.7
adverse reaction to bleomycin	T88.7
mitomycin adverse reaction	T88.7
adverse reaction to mitomycin	T88.7
plicamycin adverse reaction	T88.7
adverse reaction to plicamycin	T88.7
adverse reaction to mitoxantrone	T88.7
adverse reaction to mitozantrone	T88.7
mitoxantrone adverse reaction	T88.7
doxorubicin adverse reaction	T88.7
epirubicin adverse reaction	T88.7
idarubicin adverse reaction	T88.7
antimetabolite adverse reaction	T88.7
mercuric oxide adverse reaction	T88.7
methotrexate adverse reaction	T88.7
adverse reaction to methotrexate	T88.7
mercaptopurine adverse reaction	T88.7
adverse reaction to mercaptopurine	T88.7
thioguanine adverse reaction	T88.7
adverse reaction to thioguanine	T88.7
adverse reaction to tioguanine	T88.7
pentostatin adverse reaction	T88.7
cytarabine adverse reaction	T88.7
adverse reaction to cytarabine	T88.7
fluorouracil adverse reaction	T88.7
adverse reaction to fluorouracil	T88.7
etoposide adverse reaction	T88.7
adverse reaction to etoposide	T88.7
amsacrine adverse reaction	T88.7
carboplatin adverse reaction	T88.7
adverse reaction to carboplatin	T88.7
cisplatin adverse reaction	T88.7
adverse reaction to cisplatin	T88.7
hydroxyurea adverse reaction	T88.7
adverse reaction to hydroxyurea	T88.7
razoxane adverse reaction	T88.7
adverse reaction to razoxane	T88.7
crisantaspase adverse reaction	T88.7
paclitaxel adverse reaction	T88.7
fludarabine adverse reaction	T88.7
aminoglutethimide adverse reaction	T88.7
trilostane adverse reaction	T88.7
tamoxifen adverse reaction	T88.7
adverse reaction to tamoxifen	T88.7
formestane adverse reaction	T88.7
vinca alkaloid adverse reaction	T88.7
vinblastine adverse reaction	T88.7
vincristine adverse reaction	T88.7
vindesine adverse reaction	T88.7
dimethyl sulfoxide adverse reaction	T88.7
immunosuppressant adverse reaction	T88.7
cyclosporin adverse reaction	T88.7
adverse reaction to ciclosporin	T88.7
ciclosporin adverse reaction	T88.7
azathioprine adverse reaction	T88.7
centrally acting appetite suppressant adverse reaction	T88.7
mazindol adverse reaction	T88.7
phentermine adverse reaction	T88.7
dexfenfluramine adverse reaction	T88.7
diethylpropion adverse reaction	T88.7
fenfluramine adverse reaction	T88.7
levodopa adverse reaction	T88.7
adverse reaction to levodopa, L-dopa	T88.7
amantadine adverse reaction	T88.7
apomorphine adverse reaction	T88.7
lysuride adverse reaction	T88.7
lisuride adverse reaction	T88.7
pergolide adverse reaction	T88.7
antidepressant drug adverse reaction	T88.7
adverse reaction to antidepressant	T88.7
lithium adverse reaction	T88.7
lithium carbonate adverse reaction	T88.7
lithium citrate adverse reaction	T88.7
tricyclic antidepressant drug adverse reaction	T88.7
butriptyline adverse reaction	T88.7
adverse reaction to butriptyline	T88.7
doxepin adverse reaction	T88.7
adverse reaction to doxepin	T88.7
iprindole adverse reaction	T88.7
lofepramine adverse reaction	T88.7
adverse reaction to lofepramine	T88.7
adverse reaction to nortriptyline	T88.7
trimipramine adverse reaction	T88.7
adverse reaction to trimipramine	T88.7
amoxapine adverse reaction	T88.7
clomipramine adverse reaction	T88.7
adverse reaction to clomipramine	T88.7
desipramine adverse reaction	T88.7
dothiepin adverse reaction	T88.7
adverse reaction to dothiepin	T88.7
dosulepin adverse reaction	T88.7
imipramine adverse reaction	T88.7
adverse reaction to imipramine	T88.7
protriptyline adverse reaction	T88.7
adverse reaction to protriptyline	T88.7
monoamine oxidase inhibitor adverse reaction	T88.7
phenelzine adverse reaction	T88.7
adverse reaction to phenelzine	T88.7
iproniazid adverse reaction	T88.7
isocarboxazid adverse reaction	T88.7
adverse reaction to isocarboxazid	T88.7
tranylcypromine adverse reaction	T88.7
adverse reaction to tranylcypromine	T88.7
moclobemide adverse reaction	T88.7
adverse reaction to tryptophan	T88.7
venlafaxine adverse reaction	T88.7
selective serotonin re-uptake inhibitor adverse reaction	T88.7
sertraline adverse reaction	T88.7
paroxetine adverse reaction	T88.7
nefazodone adverse reaction	T88.7
citalopram adverse reaction	T88.7
fluoxetine adverse reaction	T88.7
fluvoxamine adverse reaction	T88.7
tetracyclic antidepressant drug adverse reaction	T88.7
maprotiline adverse reaction	T88.7
adverse reaction to maprotiline	T88.7
mianserin adverse reaction	T88.7
adverse reaction to mianserin	T88.7
trazodone adverse reaction	T88.7
viloxazine adverse reaction	T88.7
antiepileptic adverse reaction	T88.7
beclamide adverse reaction	T88.7
adverse reaction to beclamide	T88.7
piracetam adverse reaction	T88.7
gabapentin adverse reaction	T88.7
sodium valproate adverse reaction	T88.7
adverse reaction to sodium valproate	T88.7
barbiturate antiepileptic adverse reaction	T88.7
methylphenobarbital adverse reaction	T88.7
phenobarbitone adverse reaction	T88.7
adverse reaction to phenobarbital	T88.7
phenobarbital adverse reaction	T88.7
primidone adverse reaction	T88.7
adverse reaction to primidone	T88.7
carbamazepine adverse reaction	T88.7
adverse reaction to carbamazepine	T88.7
vigabatrin adverse reaction	T88.7
phenytoin adverse reaction	T88.7
adverse reaction to phenytoin	T88.7
ethosuximide adverse reaction	T88.7
adverse reaction to ethosuximide	T88.7
clonazepam adverse reaction	T88.7
adverse reaction to clonazepam	T88.7
sedative adverse reaction	T88.7
zopiclone adverse reaction	T88.7
zolpidem adverse reaction	T88.7
chlormezanone adverse reaction	T88.7
methyprylone adverse reaction	T88.7
adverse reaction to methyprylon	T88.7
adverse reaction to paraldehyde	T88.7
amylobarbitone adverse reaction	T88.7
amobarbital adverse reaction	T88.7
butobarbital adverse reaction	T88.7
cyclobarbitone adverse reaction	T88.7
quinalbarbitone adverse reaction	T88.7
adverse reaction to secobarbital	T88.7
secobarbital adverse reaction	T88.7
flunitrazepam adverse reaction	T88.7
flurazepam adverse reaction	T88.7
adverse reaction to flurazepam	T88.7
loprazolam adverse reaction	T88.7
nitrazepam adverse reaction	T88.7
triazolam adverse reaction	T88.7
adverse reaction to triazolam	T88.7
alprazolam adverse reaction	T88.7
bromazepam adverse reaction	T88.7
chlordiazepoxide adverse reaction	T88.7
adverse reaction to chlordiazepoxide	T88.7
clobazam adverse reaction	T88.7
adverse reaction to clobazam	T88.7
ketazolam adverse reaction	T88.7
adverse reaction to ketazolam	T88.7
medazepam adverse reaction	T88.7
oxazepam adverse reaction	T88.7
adverse reaction to oxazepam	T88.7
prazepam adverse reaction	T88.7
diazepam adverse reaction	T88.7
adverse reaction to diazepam	T88.7
lorazepam adverse reaction	T88.7
adverse reaction to lorazepam	T88.7
temazepam adverse reaction	T88.7
adverse reaction to temazepam	T88.7
carbamate sedative adverse reaction	T88.7
meprobamate adverse reaction	T88.7
adverse reaction to meprobamate	T88.7
chloral hydrate adverse reaction	T88.7
adverse reaction to chloral hydrate	T88.7
dichloralphenazone adverse reaction	T88.7
adverse reaction to dichloralphenazone	T88.7
buspirone adverse reaction	T88.7
chlormethiazole adverse reaction	T88.7
adverse reaction to clomethiazole edisylate	T88.7
clomethiazole adverse reaction	T88.7
neuroleptic adverse reaction	T88.7
sulpiride adverse reaction	T88.7
loxapine adverse reaction	T88.7
clozapine adverse reaction	T88.7
risperidone adverse reaction	T88.7
tetrabenazine adverse reaction	T88.7
adverse reaction to tetrabenazine	T88.7
butyrophenone adverse reaction	T88.7
benperidol adverse reaction	T88.7
trifluperidol adverse reaction	T88.7
adverse reaction to trifluperidol	T88.7
haloperidol decanoate adverse reaction	T88.7
droperidol adverse reaction	T88.7
haloperidol adverse reaction	T88.7
adverse reaction to haloperidol	T88.7
diphenylbutylpiperidine adverse reaction	T88.7
pimozide adverse reaction	T88.7
fluspirilene adverse reaction	T88.7
methotrimeprazine adverse reaction	T88.7
levomepromazine adverse reaction	T88.7
pericyazine adverse reaction	T88.7
adverse reaction to pericyazine	T88.7
fluphenazine decanoate adverse reaction	T88.7
thiethylperazine adverse reaction	T88.7
fluphenazine adverse reaction	T88.7
adverse reaction to fluphenazine	T88.7
chlorpromazine adverse reaction	T88.7
adverse reaction to chlorpromazine	T88.7
pipothiazine adverse reaction	T88.7
pipotiazine adverse reaction	T88.7
promazine adverse reaction	T88.7
adverse reaction to promazine	T88.7
adverse reaction to thioridazine	T88.7
perphenazine adverse reaction	T88.7
adverse reaction to perphenazine	T88.7
prochlorperazine adverse reaction	T88.7
adverse reaction to prochlorperazine	T88.7
trifluoperazine adverse reaction	T88.7
thioxanthene adverse reaction	T88.7
chlorprothixene adverse reaction	T88.7
flupenthixol decanoate adverse reaction	T88.7
flupentixol decanoate adverse reaction	T88.7
zuclopenthixol decanoate adverse reaction	T88.7
zuclopenthixol adverse reaction	T88.7
adverse reaction to flupenthixol	T88.7
adverse reaction to flupentixol	T88.7
flupentixol adverse reaction	T88.7
oxypertine adverse reaction	T88.7
adverse reaction to oxypertine	T88.7
remoxipride adverse reaction	T88.7
decarboxylase inhibitor adverse reaction	T88.7
selegiline adverse reaction	T88.7
adverse reaction to selegiline	T88.7
central stimulant adverse reaction	T88.7
adverse reaction to pemoline	T88.7
methylphenidate adverse reaction	T88.7
prolintane adverse reaction	T88.7
